,District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
321,Nalbari,210706.0,128531,20018,134220,28238.0,12228,2401,25443
322,Baksa,291641.0,187526,32664,112866,3580.0,1905,269,3369
323,Darrang,268517.0,154666,47797,127815,20189.0,6946,1737,18534
324,Udalguri,267790.0,160407,28654,111133,13835.0,4884,997,12424
325,Darjiling,303284.0,164380,24263,158618,215675.0,68369,11431,187638
326,Jalpaiguri,798378.0,461463,127741,296199,319426.0,118827,33540,262888
327,Koch Bihar,803407.0,463566,101230,447498,97331.0,32996,7690,87890
328,Uttar Dinajpur,683981.0,396025,84814,140901,94269.0,37708,13764,75981
329,Dakshin Dinajpur,390949.0,225187,46523,107511,70077.0,24037,6518,64191
330,Maldah,830318.0,489888,93826,210901,128678.0,62409,10681,95608
331,Murshidabad,1501066.0,842099,255182,520870,350899.0,170187,40705,216856
332,Birbhum,831044.0,432143,129643,155406,134565.0,50193,12515,82893
333,Barddhaman,1364868.0,707002,128298,629205,862368.0,329425,54330,616594
334,Nadia,1081381.0,582865,168696,771025,468390.0,192977,49650,437008
335,North Twenty Four Parganas,1209337.0,559924,238240,954167,1649803.0,551035,89090,1550815
336,Hugli,992085.0,451399,116074,596244,647953.0,218361,34342,575383
337,Bankura,900515.0,471870,105361,148585,90885.0,35264,8089,54895
338,Puruliya,653219.0,409569,48339,39847,99433.0,43254,6663,50612
339,Haora,483384.0,195288,67191,290998,869313.0,305999,56506,725877
340,Kolkata,0.0,,,,1308106.0,404205,35319,1241393
341,South Twenty Four Parganas,1568802.0,782833,254146,862842,611430.0,235401,49526,508099
342,Paschim Medinipur,1364335.0,712183,180093,571657,201048.0,65944,16687,155210
343,Purba Medinipur,1193006.0,584573,215935,1021214,170707.0,59407,17242,141346
344,Garhwa,272872.0,170273,12553,13371,19180.0,8536,1305,8881
345,Chatra,200974.0,115561,9044,13265,14528.0,6741,596,9545
346,Kodarma,116714.0,61042,4902,8871,34771.0,15543,1878,17490
347,Giridih,452564.0,242575,14030,26249,46886.0,17348,1595,28742
348,Deoghar,257373.0,155969,13127,14156,64337.0,24063,2703,43943
349,Godda,276454.0,173337,25434,21840,15576.0,5732,655,10109
350,Sahibganj,223450.0,145466,16312,20558,37543.0,17458,2929,20386
351,Pakur,200588.0,120153,14242,14643,16587.0,7747,946,7713
352,Dhanbad,258764.0,135075,12162,31570,405455.0,180428,15813,240435
353,Bokaro,250312.0,125907,10263,16521,258452.0,94852,8271,162050
354,Lohardaga,96759.0,60475,2710,7064,14725.0,5331,648,10382
355,Purbi Singhbhum,262537.0,133894,15228,35706,342126.0,88269,7869,276096
356,Palamu,355529.0,223273,22399,26310,52375.0,21003,2829,30535
357,Latehar,146377.0,84899,3221,10540,14137.0,5740,707,7889
358,Hazaribagh,312983.0,151797,10329,29108,68765.0,22762,2063,50543
359,Ramgarh,134067.0,67168,5095,14748,118558.0,47187,4269,71135
360,Dumka,303697.0,194063,18222,18830,23281.0,7800,1165,14947
361,Jamtara,165555.0,103638,8113,7285,20113.0,6738,664,12088
362,Ranchi,420740.0,231407,12623,55538,310242.0,98657,12720,245402
363,Khunti,67860.0,39156,2308,2715,67860.0,25923,2036,36577
364,Gumla,216629.0,137127,6283,13865,16445.0,6315,823,11265
365,Simdega,144169.0,85925,4181,7065,11114.0,4446,445,5935
366,Pashchimi Singhbhum,336928.0,171497,13478,12467,63396.0,23774,2853,37341
367,Saraikela-Kharsawan,217248.0,116228,7821,13904,68439.0,25049,2327,44144
368,Bargarh,411566.0,275338,34984,50623,47395.0,22134,2228,25689
369,Jharsuguda,103224.0,73806,6091,9704,73962.0,33653,4142,39644
370,Sambalpur,220697.0,153826,17215,18980,94798.0,39057,4930,56405
371,Debagarh,91408.0,68556,12249,5394,7350.0,4580,405,3771
372,Sundargarh,387911.0,294425,22499,32585,230151.0,107941,10127,150749
373,Kendujhar,490634.0,343444,42195,45629,83664.0,40829,6443,42502
374,Mayurbhanj,689110.0,499605,59264,103367,64479.0,28242,5223,41267
375,Baleshwar,601154.0,373317,69734,136462,82440.0,34790,5936,56060
376,Bhadrak,373862.0,240394,33274,59818,54244.0,28587,4015,28099
377,Kendrapara,414749.0,236407,31107,65531,23494.0,10479,2068,13580
378,Jagatsinghapur,309685.0,177450,21988,68441,43047.0,24623,1593,19286
379,Cuttack,579529.0,318741,58533,129815,210768.0,77142,13490,164400
380,Jajapur,495611.0,286464,72360,98627,45528.0,19532,3187,27864
381,Dhenkanal,315390.0,206581,36270,44786,36979.0,15458,2811,22114
382,Anugul,340410.0,219225,40850,56849,74177.0,28781,4896,47474
383,Nayagarh,261646.0,168239,31921,41602,26688.0,12944,2029,14892
384,Khordha,331834.0,207065,28206,60726,356895.0,130624,18202,273382
385,Puri,402014.0,257691,45026,62715,72210.0,33506,4189,52930
386,Ganjam,795476.0,490014,75571,151936,219918.0,87748,11436,143607
387,Gajapati,152095.0,101904,8974,19317,23050.0,9382,1153,13070
388,Kandhamal,218446.0,150291,14418,13763,24489.0,11388,1568,13837
389,Baudh,131377.0,98665,6175,11824,6577.0,3690,356,3375
390,Subarnapur,176927.0,130926,12739,13978,16575.0,10178,962,6465
391,Balangir,476770.0,327065,33374,48154,62192.0,29169,4230,36134
392,Nuapada,197258.0,143802,9469,25052,11869.0,6255,772,5745
393,Kalahandi,456336.0,320805,42896,37420,38412.0,18361,2651,22587
394,Rayagada,237343.0,165429,13529,15665,49205.0,17616,2116,29770
395,Nabarangapur,342840.0,237589,15085,19885,29424.0,15124,1442,15713
396,Koraput,381789.0,250836,20235,31307,78339.0,30474,4387,50843
397,Malkangiri,167884.0,112986,12424,10074,15839.0,7239,1331,7556
398,Koriya,121852.0,61536,2681,10358,59763.0,22412,777,35440
399,Surguja,0.0,0,0,0,65167.0,19160,1043,39948
400,Jashpur,0.0,0,0,0,20722.0,7833,249,8745
401,Raigarh,354278.0,203356,17006,46057,66638.0,25190,2000,38184
402,Korba,206598.0,112390,6612,24586,126055.0,37439,2017,73869
403,Janjgir - Champa,379583.0,223954,21257,41755,61190.0,26802,2326,27169
404,Bilaspur,549632.0,324833,28581,91239,188174.0,67931,5834,123631
405,Kabeerdham,187311.0,114073,11614,16858,23868.0,8760,1218,11815
406,Rajnandgaon,313604.0,149590,10663,58017,76528.0,25102,1914,40713
407,Durg,533448.0,279527,26673,74683,349741.0,103524,7695,218938
408,Raipur,673499.0,383895,39737,86882,395001.0,118896,11456,256751
409,Mahasamund,274793.0,164876,12641,41769,35774.0,14739,1467,17923
410,Dhamtari,168689.0,92948,7085,40823,41792.0,16383,1463,22401
411,Uttar Bastar Kanker,169191.0,78674,5076,25041,24878.0,9404,797,15151
412,Bastar,316425.0,165174,10759,43984,54894.0,19433,1592,33486
413,Narayanpur,26916.0,15504,1185,1104,6179.0,3417,136,2732
414,Dakshin Bastar Dantewada,106545.0,53380,3410,7672,31304.0,11051,908,15590
415,Bijapur,50449.0,28504,2119,1363,7942.0,4861,247,2232
416,Sheopur,150146.0,90689,7958,8709,26376.0,10709,845,15088
417,Morena,319298.0,170825,16604,21393,95288.0,34018,2002,70323
418,Bhind,271211.0,139945,12476,25223,88385.0,35973,2210,59484
419,Gwalior,172720.0,83079,7773,29881,272172.0,73215,5444,236790
420,Datia,160453.0,74932,4333,18132,43401.0,15104,1303,27387
421,Shivpuri,367859.0,199748,15451,20601,66759.0,21030,1870,43861
422,Tikamgarh,322772.0,144280,9361,12589,60220.0,19813,1626,27220
423,Chhatarpur,375869.0,169893,9773,19546,95048.0,27659,1521,55033
424,Panna,256744.0,121954,7703,12838,32179.0,11585,741,17313
425,Sagar,448408.0,231379,21076,50222,165507.0,53128,4138,107084
426,Damoh,303387.0,164133,15170,17900,66514.0,22682,1929,37381
427,Satna,461831.0,181038,10161,105298,114173.0,26717,2626,69075
428,Rewa,523910.0,181797,11003,93256,94489.0,20599,2268,56221
429,Umaria,138100.0,65184,5801,8010,29966.0,8481,630,16542
430,Neemuch,174235.0,80671,4879,23000,67962.0,18758,952,43224
431,Mandsaur,302287.0,150237,6953,40205,81832.0,24141,1392,55810
432,Ratlam,266716.0,153896,9336,35740,107151.0,29467,1501,88722
433,Ujjain,300765.0,165120,11430,53837,188684.0,56794,3585,157740
434,Shajapur,312611.0,177251,13755,41890,73997.0,23754,1776,49356
435,Dewas,274995.0,134748,17050,59674,101014.0,30810,2627,78084
436,Dhar,412348.0,232977,19381,79171,103364.0,31733,3101,78971
437,Indore,200371.0,82954,9218,83154,587947.0,136992,15875,530917
438,Khargone (West Nimar),383543.0,218236,24164,49861,76620.0,22603,2452,56546
439,Barwani,250358.0,150716,13019,25787,48912.0,18294,2006,32331
440,Rajgarh,331894.0,200464,21574,25888,69823.0,24927,2235,42593
441,Vidisha,292579.0,132246,8778,33647,83830.0,25652,1761,59939
442,Bhopal,118893.0,55405,5113,25562,581826.0,175130,15128,488153
443,Sehore,270427.0,117907,17849,58683,59220.0,18536,1481,46844
444,Raisen,251272.0,116591,18092,46486,74441.0,27097,2978,53598
445,Betul,318945.0,145439,15310,41144,87704.0,26575,2632,62797
446,Harda,112714.0,47566,8679,43170,31845.0,8439,1402,25254
447,Hoshangabad,209650.0,92037,21385,70862,105746.0,30350,3596,85232
448,Katni,276151.0,128411,12151,23749,72880.0,20844,1750,47956
449,Jabalpur,272284.0,125796,15521,72973,352477.0,103629,10222,282687
450,Narsimhapur,230659.0,112793,22605,63432,53059.0,17881,3131,38097
451,Dindori,218021.0,111627,5887,8067,9774.0,3685,538,5406
452,Mandla,279674.0,120820,12026,18739,37258.0,10656,1491,24255
453,Chhindwara,413142.0,207811,21071,50817,140802.0,47169,5210,93352
454,Seoni,335045.0,151106,16418,50927,47542.0,13170,1664,35134
455,Balaghat,400074.0,153229,21604,46809,70793.0,20814,2407,44671
456,Guna,212765.0,104681,6171,15745,72320.0,24300,2387,43103
457,Ashoknagar,169606.0,74627,4580,11873,37135.0,14038,632,20908
458,Shahdol,233594.0,103249,6775,17754,57846.0,16892,1562,36848
459,Anuppur,103857.0,38220,1974,4570,103857.0,25965,2285,59095
460,Sidhi,250953.0,95865,4769,10290,25916.0,6946,389,12699
461,Singrauli,228732.0,101558,4346,5033,58593.0,15879,1524,30527
462,Jhabua,211080.0,132137,10766,12243,24713.0,6302,445,18980
463,Alirajpur,135866.0,84373,5435,6794,14662.0,4370,382,11041
464,Khandwa (East Nimar),265663.0,139208,21254,46226,63425.0,19726,2791,43954
465,Burhanpur,115979.0,56134,7423,21457,62861.0,26214,2452,43123
466,Kachchh,488293.0,124027,5372,240241,250982.0,53711,2510,220614
467,Banas Kantha,666773.0,258708,26671,114019,137424.0,32707,2062,107191
468,Patan,301483.0,112454,11457,108233,102655.0,26178,1540,84588
469,Mahesana,476005.0,156130,12377,211347,183738.0,40055,2389,156178
470,Sabar Kantha,544024.0,223594,11425,169192,121509.0,32929,1945,93198
471,Gandhinagar,237624.0,86971,5466,101704,195634.0,47735,2544,158073
472,Ahmadabad,353169.0,143034,7064,116193,1845383.0,441047,11073,1699598
473,Surendranagar,340788.0,124047,7839,70884,159810.0,38035,2238,111867
474,Rajkot,459474.0,130491,6893,202169,721532.0,158016,7937,624126
475,Jamnagar,347158.0,104495,5555,120811,299167.0,68809,2992,250702
476,Porbandar,96015.0,29189,2209,37542,87557.0,21540,1139,67770
477,Junagadh,489237.0,159981,8318,225050,287506.0,68714,4026,246393
478,Amreli,313714.0,90664,5334,163445,116899.0,28875,1169,91649
479,Bhavnagar,387251.0,128568,5809,124308,356826.0,91705,3926,291171
480,Anand,413078.0,170602,8675,170602,208909.0,54526,2716,173395
481,Kheda,461479.0,194745,11537,117216,160547.0,40137,2409,126030
482,Panch Mahals,463363.0,233535,12048,78772,104238.0,25435,1147,87665
483,Dohad,323697.0,192600,6798,19746,52807.0,12463,581,37916
484,Vadodara,547454.0,251829,10950,156025,692971.0,137902,5544,636841
485,Narmada,138121.0,60636,1796,22100,22248.0,7498,423,16620
486,Bharuch,300677.0,114859,4511,137711,181319.0,36627,1088,162100
487,The Dangs,52102.0,18914,574,13182,7516.0,2015,53,4345
488,Navsari,267739.0,92370,3749,119144,141417.0,28284,1273,121195
489,Valsad,262410.0,104177,3412,72426,235981.0,58052,2124,179346
490,Surat,369840.0,114281,4439,184551,1529998.0,302940,7650,1435139
491,Tapi,192272.0,69795,1923,44223,26217.0,7813,210,20319
492,Diu,9788.0,1244,30,4239,9062.0,970,19,6770
493,Daman,10006.0,2642,91,5734,61073.0,22659,367,53012
494,Nandurbar,333440.0,163053,13005,74358,71572.0,20900,2362,45449
495,Dhule,382777.0,143159,13015,71580,146013.0,33145,2337,95347
496,Jalgaon,796223.0,309731,43793,179947,373565.0,101237,6351,242444
497,Buldana,575405.0,269865,38553,167443,152787.0,52559,5348,93048
498,Akola,308158.0,146376,21880,95221,196077.0,66275,7255,141764
499,Washim,274925.0,127291,18420,75605,55921.0,19964,1454,37635
500,Amravati,508921.0,226979,33589,209167,272894.0,85416,7914,214495
501,Wardha,268486.0,117329,25507,126726,120218.0,28853,4449,94251
502,Nagpur,430844.0,168030,35761,198620,877522.0,207973,24571,789770
503,Bhandara,283843.0,123756,22992,158385,72575.0,18144,2468,61181
504,Gondiya,319702.0,128840,16625,151859,66813.0,18040,2205,51647
505,Gadchiroli,293586.0,125068,25542,65177,37254.0,10059,1491,24551
506,Chandrapur,451324.0,186397,50549,131336,233331.0,58800,7934,167299
507,Yavatmal,629243.0,295115,50969,137175,168889.0,49485,6587,115183
508,Nanded,591119.0,302653,46108,113495,230563.0,80698,9223,168773
509,Hingoli,242456.0,113227,14548,65221,41913.0,16221,1300,27537
510,Parbhani,293480.0,138817,24359,39033,133759.0,47886,5886,89485
511,Jalna,404746.0,165946,27928,118186,98084.0,35801,3041,68855
512,Aurangabad,551789.0,219061,44144,109255,427343.0,96580,5983,373498
513,Nashik,904661.0,312109,50662,265066,764271.0,185718,19107,528112
514,Thane,713994.0,262750,41412,283456,2904157.0,630203,31946,2163597
515,Mumbai Suburban,0.0,,,,3078829.0,834363,43104,1684120
516,Mumbai,0.0,,,,1107321.0,290119,16610,741906
517,Raigarh,581868.0,164669,20948,296171,377160.0,66758,4149,305500
518,Pune,1165718.0,278607,57121,720414,2056739.0,429859,26738,1655675
519,Ahmadnagar,1041393.0,318667,77064,407185,282011.0,65145,7051,207561
520,Bid,563114.0,230877,45050,86720,135457.0,41721,3929,93601
521,Latur,428616.0,171876,24432,106297,157016.0,48047,4083,122316
522,Osmanabad,367158.0,140255,22764,81510,77832.0,24595,2180,44987
523,Solapur,779929.0,230859,60835,250358,376302.0,115902,7150,229168
524,Satara,774522.0,215318,41050,542940,200949.0,41597,5426,151516
525,Ratnagiri,538538.0,154561,22081,361898,100824.0,16737,1916,82676
526,Sindhudurg,295847.0,81654,13609,220111,44989.0,10708,1350,39051
527,Kolhapur,796496.0,193549,15930,592594,382818.0,84986,4594,285966
528,Sangli,626872.0,171763,31971,379258,226801.0,57381,5444,175998
529,Adilabad,597466.0,213296,38836,82451,220248.0,51759,6167,155716
530,Nizamabad,565165.0,179723,24303,166159,155133.0,39404,3413,132639
531,Karimnagar,877236.0,284225,44740,300015,288044.0,60490,5185,243110
532,Medak,593653.0,205404,26121,188782,195479.0,37923,2346,165376
533,Hyderabad,0.0,,,,1066289.0,203662,9597,1050295
534,Rangareddy,432098.0,110185,9507,187963,1129224.0,182935,7905,1084056
535,Mahbubnagar,848963.0,261481,52636,151965,161052.0,30600,2738,125782
536,Nalgonda,833504.0,285059,49177,265888,197433.0,47977,3357,160316
537,Warangal,758738.0,294391,64493,225346,288249.0,68316,8360,237518
538,Khammam,669262.0,226880,34802,250304,201363.0,45509,4430,171965
539,Srikakulam,752752.0,241634,26347,96353,149684.0,32033,2545,98642
540,Vizianagaram,592458.0,183070,19552,63394,157056.0,31412,2985,104286
541,Visakhapatnam,718847.0,213498,23004,153834,660493.0,112284,7266,551512
542,East Godavari,1199479.0,364642,46780,563756,406362.0,84930,6909,354755
543,West Godavari,1007255.0,302177,48349,593274,248373.0,52407,5465,220307
544,Krishna,909292.0,280062,40009,511023,567042.0,113976,9640,527350
545,Guntur,1069877.0,331662,44935,497493,513113.0,112372,9750,442817
546,Prakasam,873486.0,260299,36687,244577,214089.0,45387,4282,165705
547,Sri Potti Sriramulu Nellore,689137.0,192270,29633,175730,264376.0,43887,5024,208329
548,Y.S.R.,590589.0,129339,15356,167728,293504.0,54592,3229,232162
549,Kurnool,783853.0,211641,25868,216344,306982.0,64467,4298,223176
550,Anantapur,902997.0,195951,26187,198660,341431.0,71360,4439,260171
551,Chittoor,0.0,0,0,0,395900.0,58198,4751,322659
552,Belgaum,962777.0,370670,45251,178114,356198.0,90831,6768,257888
553,Bagalkot,324799.0,139339,16890,23386,165858.0,54568,6137,70490
554,Bijapur,396449.0,165320,26959,19823,131041.0,36299,3801,77970
555,Bidar,287134.0,162805,14357,25268,102269.0,30681,3069,69646
556,Raichur,330446.0,142753,23462,33045,125402.0,38750,4515,63203
557,Koppal,272968.0,107550,14195,32757,64681.0,17270,2394,31306
558,Gadag,180066.0,75268,9184,16567,111906.0,39951,3805,47337
559,Dharwad,199707.0,80682,7789,46133,283397.0,82186,5668,232386
560,Uttara Kannada,334281.0,160790,21394,169147,140511.0,52411,4497,113252
561,Haveri,315076.0,141470,15754,88852,98488.0,29448,2857,68647
562,Bellary,371604.0,148270,20067,44965,251876.0,72541,7557,159942
563,Chitradurga,349704.0,157367,20633,66794,97644.0,30954,1953,72159
564,Davanagere,354680.0,163508,20572,105695,176011.0,54036,4929,142393
565,Shimoga,352444.0,161420,25729,217811,201662.0,64936,6454,176858
566,Udupi,269817.0,93087,11333,225568,115572.0,28893,2428,110950
567,Chikmagalur,311660.0,141806,17142,168609,80766.0,24634,2343,72205
568,Tumkur,685443.0,280347,39756,125437,204799.0,57139,5120,168960
569,Bangalore,300576.0,86566,7515,224831,2967384.0,590510,32642,2872428
570,Mandya,458867.0,202820,20650,126189,103435.0,31962,3207,88851
571,Hassan,496103.0,241603,30759,132460,132878.0,39465,3190,119458
572,Dakshina Kannada,332919.0,135831,12319,293302,317373.0,83470,5078,309757
573,Kodagu,181182.0,72473,8335,142772,31792.0,10619,1018,30839
574,Mysore,540596.0,259487,28652,145961,380386.0,108411,8369,358324
575,Chamarajanagar,262680.0,124773,18388,40453,57200.0,21393,2574,36780
576,Gulbarga,400704.0,173906,14827,18032,199303.0,57400,2990,135925
577,Yadgir,207787.0,106387,11429,8935,55208.0,18992,1602,22194
578,Kolar,326567.0,133566,16655,83275,151042.0,47730,2417,121136
579,Chikkaballapura,315649.0,120894,15467,72600,94053.0,26241,1505,79287
580,Bangalore Rural,231052.0,84334,8549,174445,95410.0,27765,1622,87110
581,Ramanagara,266950.0,116124,18153,74746,84834.0,29014,2715,75079
582,North Goa,115859.0,26648,2086,79596,209230.0,41010,2302,178474
583,South Goa,88620.0,20738,1773,65402,162873.0,39742,2444,138768
584,Kasaragod,251641.0,80274,19125,223458,166164.0,30741,4487,160515
585,Kannur,306288.0,95256,18990,294956,566191.0,109842,11891,557699
586,Wayanad,266183.0,94229,23957,244090,11805.0,4722,650,11251
587,Kozhikode,323793.0,87748,21371,314080,666543.0,128643,23996,654546
588,Malappuram,634543.0,175134,26651,612334,522586.0,111311,13065,514748
589,Palakkad,665899.0,235729,35959,587323,228442.0,64193,7539,216792
590,Thrissur,336748.0,118536,17175,326309,715119.0,203809,29320,702962
591,Ernakulam,369694.0,109430,18485,358234,804997.0,179515,24955,791313
592,Idukki,391610.0,172701,32504,347359,20823.0,4894,292,20678
593,Kottayam,481967.0,168689,22171,462689,196194.0,51992,5102,192663
594,Alappuzha,331419.0,99095,25520,301260,392117.0,104696,25488,371335
595,Pathanamthitta,414992.0,125328,20335,388848,57848.0,13710,1620,55535
596,Kollam,523715.0,156591,39279,487055,401415.0,97946,22078,386965
597,Thiruvananthapuram,559293.0,191279,57048,513991,609824.0,157945,37200,587261
598,Thiruvallur,387237.0,125465,12779,109589,732196.0,132528,7322,650191
599,Chennai,0.0,,,,1314125.0,228658,11828,1256304
600,Kancheepuram,438799.0,139100,10093,128569,774705.0,136349,6198,663148
601,Vellore,653499.0,181673,15031,125472,486801.0,102229,7303,346603
602,Tiruvannamalai,563102.0,163300,12952,70388,147061.0,27501,1912,95737
603,Viluppuram,808042.0,290896,16161,106662,159272.0,37907,2390,104483
604,Salem,572813.0,184446,13175,83631,597539.0,145800,7769,328049
605,Namakkal,370357.0,94071,6667,115552,257127.0,62482,3086,140392
606,Erode,411286.0,117628,8226,138604,432398.0,102911,4757,275870
607,The Nilgiris,112126.0,38796,2355,47430,151979.0,55321,2888,89516
608,Dindigul,443818.0,139803,7989,83882,269724.0,69859,3777,154822
609,Karur,212241.0,61550,4670,48816,152420.0,30637,1372,102274
610,Tiruchirappalli,452707.0,134907,10865,108650,423020.0,90527,5077,313881
611,Perambalur,155413.0,46935,3420,24245,33179.0,5608,299,18315
612,Ariyalur,223955.0,84879,7615,31802,30322.0,8400,607,15556
613,Cuddalore,497429.0,193500,11939,98989,260780.0,68846,3912,178896
614,Nagapattinam,399016.0,178361,12769,124493,118724.0,36805,2850,82751
615,Thiruvarur,321331.0,143957,13175,101220,86848.0,24231,1477,63226
616,Thanjavur,479070.0,206480,21559,137973,274302.0,78725,5487,205178
617,Pudukkottai,399712.0,157887,16788,70750,104229.0,26162,1668,72231
618,Sivaganga,309224.0,98025,9277,73905,143193.0,31503,2005,112407
619,Madurai,417718.0,134088,8773,86468,592723.0,102542,4742,502630
620,Theni,189328.0,66644,3976,46954,221295.0,66168,2877,115074
621,Virudhunagar,363782.0,98222,6185,53113,370942.0,71592,3339,173972
622,Ramanathapuram,290478.0,99925,8715,65358,126761.0,31818,2029,89494
623,Thoothukkudi,336078.0,112587,6722,94774,300661.0,69754,3909,219784
624,Tirunelveli,547962.0,166033,8768,181924,516705.0,129693,5684,325008
625,Kanniyakumari,104253.0,37115,2815,86635,493788.0,162951,14814,436509
626,Dharmapuri,396819.0,131348,9921,42460,91107.0,20955,1458,53754
627,Krishnagiri,437988.0,143223,9636,84094,142552.0,26088,856,111619
628,Coimbatore,284795.0,78034,4557,94837,884957.0,213275,7080,689382
629,Tiruppur,356886.0,98501,6068,110278,538022.0,126974,3767,403517
630,Yanam,0.0,,,,15519.0,2390,109,12711
631,Mahe,0.0,,,,12110.0,1914,134,11844
632,Karaikal,35618.0,13108,748,16955,33715.0,7081,405,25084
633,Nicobars,15958.0,3799,192,12911,0.0,,,
634,South Andaman,34901.0,11692,1222,22581,50631.0,10836,608,44455
