District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise,State_UT
Baksa,291641,187526,32664,112866,3580,1905,269,3369,Assam
Darrang,268517,154666,47797,127815,20189,6946,1737,18534,Assam
Udalguri,267790,160407,28654,111133,13835,4884,997,12424,Assam
Darjiling,303284,164380,24263,158618,215675,68369,11431,187638,West Bengal
Jalpaiguri,798378,461463,127741,296199,319426,118827,33540,262888,West Bengal
Koch Bihar,803407,463566,101230,447498,97331,32996,7690,87890,West Bengal
Uttar Dinajpur,683981,396025,84814,140901,94269,37708,13764,75981,West Bengal
Dakshin Dinajpur,390949,225187,46523,107511,70077,24037,6518,64191,West Bengal
Maldah,830318,489888,93826,210901,128678,62409,10681,95608,West Bengal
Murshidabad,1501066,842099,255182,520870,350899,170187,40705,216856,West Bengal
Birbhum,831044,432143,129643,155406,134565,50193,12515,82893,West Bengal
Barddhaman,1364868,707002,128298,629205,862368,329425,54330,616594,West Bengal
Nadia,1081381,582865,168696,771025,468390,192977,49650,437008,West Bengal
North Twenty Four Parganas,1209337,559924,238240,954167,1649803,551035,89090,1550815,West Bengal
Hugli,992085,451399,116074,596244,647953,218361,34342,575383,West Bengal
Bankura,900515,471870,105361,148585,90885,35264,8089,54895,West Bengal
Puruliya,653219,409569,48339,39847,99433,43254,6663,50612,West Bengal
Haora,483384,195288,67191,290998,869313,305999,56506,725877,West Bengal
Kolkata,0,0,0,0,1308106,404205,35319,1241393,West Bengal
South Twenty Four Parganas,1568802,782833,254146,862842,611430,235401,49526,508099,West Bengal
Paschim Medinipur,1364335,712183,180093,571657,201048,65944,16687,155210,West Bengal
Purba Medinipur,1193006,584573,215935,1021214,170707,59407,17242,141346,West Bengal
Garhwa,272872,170273,12553,13371,19180,8536,1305,8881,Jharkhand
Chatra,200974,115561,9044,13265,14528,6741,596,9545,Jharkhand
Kodarma,116714,61042,4902,8871,34771,15543,1878,17490,Jharkhand
Giridih,452564,242575,14030,26249,46886,17348,1595,28742,Jharkhand
Deoghar,257373,155969,13127,14156,64337,24063,2703,43943,Jharkhand
Godda,276454,173337,25434,21840,15576,5732,655,10109,Jharkhand
Sahibganj,223450,145466,16312,20558,37543,17458,2929,20386,Jharkhand
Pakur,200588,120153,14242,14643,16587,7747,946,7713,Jharkhand
Dhanbad,258764,135075,12162,31570,405455,180428,15813,240435,Jharkhand
Bokaro,250312,125907,10263,16521,258452,94852,8271,162050,Jharkhand
Lohardaga,96759,60475,2710,7064,14725,5331,648,10382,Jharkhand
Purbi Singhbhum,262537,133894,15228,35706,342126,88269,7869,276096,Jharkhand
Palamu,355529,223273,22399,26310,52375,21003,2829,30535,Jharkhand
Latehar,146377,84899,3221,10540,14137,5740,707,7889,Jharkhand
Hazaribagh,312983,151797,10329,29108,68765,22762,2063,50543,Jharkhand
Ramgarh,134067,67168,5095,14748,118558,47187,4269,71135,Jharkhand
Dumka,303697,194063,18222,18830,23281,7800,1165,14947,Jharkhand
Jamtara,165555,103638,8113,7285,20113,6738,664,12088,Jharkhand
Ranchi,420740,231407,12623,55538,310242,98657,12720,245402,Jharkhand
Khunti,67860,39156,2308,2715,67860,25923,2036,36577,Jharkhand
Gumla,216629,137127,6283,13865,16445,6315,823,11265,Jharkhand
Simdega,144169,85925,4181,7065,11114,4446,445,5935,Jharkhand
Pashchimi Singhbhum,336928,171497,13478,12467,63396,23774,2853,37341,Jharkhand
Saraikela-Kharsawan,217248,116228,7821,13904,68439,25049,2327,44144,Jharkhand
Bargarh,411566,275338,34984,50623,47395,22134,2228,25689,Orissa
Jharsuguda,103224,73806,6091,9704,73962,33653,4142,39644,Orissa
Sambalpur,220697,153826,17215,18980,94798,39057,4930,56405,Orissa
Debagarh,91408,68556,12249,5394,7350,4580,405,3771,Orissa
Sundargarh,387911,294425,22499,32585,230151,107941,10127,150749,Orissa
Kendujhar,490634,343444,42195,45629,83664,40829,6443,42502,Orissa
Mayurbhanj,689110,499605,59264,103367,64479,28242,5223,41267,Orissa
Baleshwar,601154,373317,69734,136462,82440,34790,5936,56060,Orissa
Bhadrak,373862,240394,33274,59818,54244,28587,4015,28099,Orissa
Kendrapara,414749,236407,31107,65531,23494,10479,2068,13580,Orissa
Jagatsinghapur,309685,177450,21988,68441,43047,24623,1593,19286,Orissa
Cuttack,579529,318741,58533,129815,210768,77142,13490,164400,Orissa
Jajapur,495611,286464,72360,98627,45528,19532,3187,27864,Orissa
Dhenkanal,315390,206581,36270,44786,36979,15458,2811,22114,Orissa
Anugul,340410,219225,40850,56849,74177,28781,4896,47474,Orissa
Nayagarh,261646,168239,31921,41602,26688,12944,2029,14892,Orissa
Khordha,331834,207065,28206,60726,356895,130624,18202,273382,Orissa
Puri,402014,257691,45026,62715,72210,33506,4189,52930,Orissa
Ganjam,795476,490014,75571,151936,219918,87748,11436,143607,Orissa
Gajapati,152095,101904,8974,19317,23050,9382,1153,13070,Orissa
Kandhamal,218446,150291,14418,13763,24489,11388,1568,13837,Orissa
Baudh,131377,98665,6175,11824,6577,3690,356,3375,Orissa
Subarnapur,176927,130926,12739,13978,16575,10178,962,6465,Orissa
Balangir,476770,327065,33374,48154,62192,29169,4230,36134,Orissa
Nuapada,197258,143802,9469,25052,11869,6255,772,5745,Orissa
Kalahandi,456336,320805,42896,37420,38412,18361,2651,22587,Orissa
Rayagada,237343,165429,13529,15665,49205,17616,2116,29770,Orissa
Nabarangapur,342840,237589,15085,19885,29424,15124,1442,15713,Orissa
Koraput,381789,250836,20235,31307,78339,30474,4387,50843,Orissa
Malkangiri,167884,112986,12424,10074,15839,7239,1331,7556,Orissa
Koriya,121852,61536,2681,10358,59763,22412,777,35440,Chhattisgarh
Surguja,0,0,0,0,65167,19160,1043,39948,Chhattisgarh
Jashpur,0,0,0,0,20722,7833,249,8745,Chhattisgarh
Raigarh,354278,203356,17006,46057,66638,25190,2000,38184,Chhattisgarh
Korba,206598,112390,6612,24586,126055,37439,2017,73869,Chhattisgarh
Janjgir - Champa,379583,223954,21257,41755,61190,26802,2326,27169,Chhattisgarh
Bilaspur,549632,324833,28581,91239,188174,67931,5834,123631,Chhattisgarh
Kabeerdham,187311,114073,11614,16858,23868,8760,1218,11815,Chhattisgarh
Rajnandgaon,313604,149590,10663,58017,76528,25102,1914,40713,Chhattisgarh
Durg,533448,279527,26673,74683,349741,103524,7695,218938,Chhattisgarh
Raipur,673499,383895,39737,86882,395001,118896,11456,256751,Chhattisgarh
Mahasamund,274793,164876,12641,41769,35774,14739,1467,17923,Chhattisgarh
Dhamtari,168689,92948,7085,40823,41792,16383,1463,22401,Chhattisgarh
Uttar Bastar Kanker,169191,78674,5076,25041,24878,9404,797,15151,Chhattisgarh
Bastar,316425,165174,10759,43984,54894,19433,1592,33486,Chhattisgarh
Narayanpur,26916,15504,1185,1104,6179,3417,136,2732,Chhattisgarh
Dakshin Bastar Dantewada,106545,53380,3410,7672,31304,11051,908,15590,Chhattisgarh
Bijapur,50449,28504,2119,1363,7942,4861,247,2232,Chhattisgarh
Sheopur,150146,90689,7958,8709,26376,10709,845,15088,Madhya Pradesh
Morena,319298,170825,16604,21393,95288,34018,2002,70323,Madhya Pradesh
Bhind,271211,139945,12476,25223,88385,35973,2210,59484,Madhya Pradesh
Gwalior,172720,83079,7773,29881,272172,73215,5444,236790,Madhya Pradesh
Datia,160453,74932,4333,18132,43401,15104,1303,27387,Madhya Pradesh
Shivpuri,367859,199748,15451,20601,66759,21030,1870,43861,Madhya Pradesh
Tikamgarh,322772,144280,9361,12589,60220,19813,1626,27220,Madhya Pradesh
Chhatarpur,375869,169893,9773,19546,95048,27659,1521,55033,Madhya Pradesh
Panna,256744,121954,7703,12838,32179,11585,741,17313,Madhya Pradesh
Sagar,448408,231379,21076,50222,165507,53128,4138,107084,Madhya Pradesh
Damoh,303387,164133,15170,17900,66514,22682,1929,37381,Madhya Pradesh
Satna,461831,181038,10161,105298,114173,26717,2626,69075,Madhya Pradesh
Rewa,523910,181797,11003,93256,94489,20599,2268,56221,Madhya Pradesh
Umaria,138100,65184,5801,8010,29966,8481,630,16542,Madhya Pradesh
Neemuch,174235,80671,4879,23000,67962,18758,952,43224,Madhya Pradesh
Mandsaur,302287,150237,6953,40205,81832,24141,1392,55810,Madhya Pradesh
Ratlam,266716,153896,9336,35740,107151,29467,1501,88722,Madhya Pradesh
Ujjain,300765,165120,11430,53837,188684,56794,3585,157740,Madhya Pradesh
Shajapur,312611,177251,13755,41890,73997,23754,1776,49356,Madhya Pradesh
Dewas,274995,134748,17050,59674,101014,30810,2627,78084,Madhya Pradesh
Dhar,412348,232977,19381,79171,103364,31733,3101,78971,Madhya Pradesh
Indore,200371,82954,9218,83154,587947,136992,15875,530917,Madhya Pradesh
Khargone (West Nimar),383543,218236,24164,49861,76620,22603,2452,56546,Madhya Pradesh
Barwani,250358,150716,13019,25787,48912,18294,2006,32331,Madhya Pradesh
Rajgarh,331894,200464,21574,25888,69823,24927,2235,42593,Madhya Pradesh
Vidisha,292579,132246,8778,33647,83830,25652,1761,59939,Madhya Pradesh
Bhopal,118893,55405,5113,25562,581826,175130,15128,488153,Madhya Pradesh
Sehore,270427,117907,17849,58683,59220,18536,1481,46844,Madhya Pradesh
Raisen,251272,116591,18092,46486,74441,27097,2978,53598,Madhya Pradesh
Betul,318945,145439,15310,41144,87704,26575,2632,62797,Madhya Pradesh
Harda,112714,47566,8679,43170,31845,8439,1402,25254,Madhya Pradesh
Hoshangabad,209650,92037,21385,70862,105746,30350,3596,85232,Madhya Pradesh
Katni,276151,128411,12151,23749,72880,20844,1750,47956,Madhya Pradesh
Jabalpur,272284,125796,15521,72973,352477,103629,10222,282687,Madhya Pradesh
Narsimhapur,230659,112793,22605,63432,53059,17881,3131,38097,Madhya Pradesh
Dindori,218021,111627,5887,8067,9774,3685,538,5406,Madhya Pradesh
Mandla,279674,120820,12026,18739,37258,10656,1491,24255,Madhya Pradesh
Chhindwara,413142,207811,21071,50817,140802,47169,5210,93352,Madhya Pradesh
Seoni,335045,151106,16418,50927,47542,13170,1664,35134,Madhya Pradesh
Balaghat,400074,153229,21604,46809,70793,20814,2407,44671,Madhya Pradesh
Guna,212765,104681,6171,15745,72320,24300,2387,43103,Madhya Pradesh
Ashoknagar,169606,74627,4580,11873,37135,14038,632,20908,Madhya Pradesh
Shahdol,233594,103249,6775,17754,57846,16892,1562,36848,Madhya Pradesh
Anuppur,103857,38220,1974,4570,103857,25965,2285,59095,Madhya Pradesh
Sidhi,250953,95865,4769,10290,25916,6946,389,12699,Madhya Pradesh
Singrauli,228732,101558,4346,5033,58593,15879,1524,30527,Madhya Pradesh
Jhabua,211080,132137,10766,12243,24713,6302,445,18980,Madhya Pradesh
Alirajpur,135866,84373,5435,6794,14662,4370,382,11041,Madhya Pradesh
Khandwa (East Nimar),265663,139208,21254,46226,63425,19726,2791,43954,Madhya Pradesh
Burhanpur,115979,56134,7423,21457,62861,26214,2452,43123,Madhya Pradesh
Kachchh,488293,124027,5372,240241,250982,53711,2510,220614,Gujarat
Banas Kantha,666773,258708,26671,114019,137424,32707,2062,107191,Gujarat
Patan,301483,112454,11457,108233,102655,26178,1540,84588,Gujarat
Mahesana,476005,156130,12377,211347,183738,40055,2389,156178,Gujarat
Sabar Kantha,544024,223594,11425,169192,121509,32929,1945,93198,Gujarat
Gandhinagar,237624,86971,5466,101704,195634,47735,2544,158073,Gujarat
Ahmadabad,353169,143034,7064,116193,1845383,441047,11073,1699598,Gujarat
Surendranagar,340788,124047,7839,70884,159810,38035,2238,111867,Gujarat
Rajkot,459474,130491,6893,202169,721532,158016,7937,624126,Gujarat
Jamnagar,347158,104495,5555,120811,299167,68809,2992,250702,Gujarat
Porbandar,96015,29189,2209,37542,87557,21540,1139,67770,Gujarat
Junagadh,489237,159981,8318,225050,287506,68714,4026,246393,Gujarat
Amreli,313714,90664,5334,163445,116899,28875,1169,91649,Gujarat
Bhavnagar,387251,128568,5809,124308,356826,91705,3926,291171,Gujarat
Anand,413078,170602,8675,170602,208909,54526,2716,173395,Gujarat
Kheda,461479,194745,11537,117216,160547,40137,2409,126030,Gujarat
Panch Mahals,463363,233535,12048,78772,104238,25435,1147,87665,Gujarat
Dohad,323697,192600,6798,19746,52807,12463,581,37916,Gujarat
Vadodara,547454,251829,10950,156025,692971,137902,5544,636841,Gujarat
Narmada,138121,60636,1796,22100,22248,7498,423,16620,Gujarat
Bharuch,300677,114859,4511,137711,181319,36627,1088,162100,Gujarat
The Dangs,52102,18914,574,13182,7516,2015,53,4345,Gujarat
Navsari,267739,92370,3749,119144,141417,28284,1273,121195,Gujarat
Valsad,262410,104177,3412,72426,235981,58052,2124,179346,Gujarat
Surat,369840,114281,4439,184551,1529998,302940,7650,1435139,Gujarat
Tapi,192272,69795,1923,44223,26217,7813,210,20319,Gujarat
Diu,9788,1244,30,4239,9062,970,19,6770,Daman and Diu
Daman,10006,2642,91,5734,61073,22659,367,53012,Daman and Diu
Dadra and Nagar Haveli,48221,21941,386,12779,60562,12597,122,49237,Dadra and Nagar Haveli
Nandurbar,333440,163053,13005,74358,71572,20900,2362,45449,Maharashtra
Dhule,382777,143159,13015,71580,146013,33145,2337,95347,Maharashtra
Jalgaon,796223,309731,43793,179947,373565,101237,6351,242444,Maharashtra
Buldana,575405,269865,38553,167443,152787,52559,5348,93048,Maharashtra
Akola,308158,146376,21880,95221,196077,66275,7255,141764,Maharashtra
Washim,274925,127291,18420,75605,55921,19964,1454,37635,Maharashtra
Amravati,508921,226979,33589,209167,272894,85416,7914,214495,Maharashtra
Wardha,268486,117329,25507,126726,120218,28853,4449,94251,Maharashtra
Nagpur,430844,168030,35761,198620,877522,207973,24571,789770,Maharashtra
Bhandara,283843,123756,22992,158385,72575,18144,2468,61181,Maharashtra
Gondiya,319702,128840,16625,151859,66813,18040,2205,51647,Maharashtra
Gadchiroli,293586,125068,25542,65177,37254,10059,1491,24551,Maharashtra
Chandrapur,451324,186397,50549,131336,233331,58800,7934,167299,Maharashtra
Yavatmal,629243,295115,50969,137175,168889,49485,6587,115183,Maharashtra
Nanded,591119,302653,46108,113495,230563,80698,9223,168773,Maharashtra
Hingoli,242456,113227,14548,65221,41913,16221,1300,27537,Maharashtra
Parbhani,293480,138817,24359,39033,133759,47886,5886,89485,Maharashtra
Jalna,404746,165946,27928,118186,98084,35801,3041,68855,Maharashtra
Aurangabad,551789,219061,44144,109255,427343,96580,5983,373498,Maharashtra
Nashik,904661,312109,50662,265066,764271,185718,19107,528112,Maharashtra
Thane,713994,262750,41412,283456,2904157,630203,31946,2163597,Maharashtra
Mumbai Suburban,0,0,0,0,3078829,834363,43104,1684120,Maharashtra
Mumbai,0,0,0,0,1107321,290119,16610,741906,Maharashtra
Raigarh,581868,164669,20948,296171,377160,66758,4149,305500,Maharashtra
Pune,1165718,278607,57121,720414,2056739,429859,26738,1655675,Maharashtra
Ahmadnagar,1041393,318667,77064,407185,282011,65145,7051,207561,Maharashtra
Bid,563114,230877,45050,86720,135457,41721,3929,93601,Maharashtra
Latur,428616,171876,24432,106297,157016,48047,4083,122316,Maharashtra
Osmanabad,367158,140255,22764,81510,77832,24595,2180,44987,Maharashtra
Solapur,779929,230859,60835,250358,376302,115902,7150,229168,Maharashtra
Satara,774522,215318,41050,542940,200949,41597,5426,151516,Maharashtra
Ratnagiri,538538,154561,22081,361898,100824,16737,1916,82676,Maharashtra
Sindhudurg,295847,81654,13609,220111,44989,10708,1350,39051,Maharashtra
Kolhapur,796496,193549,15930,592594,382818,84986,4594,285966,Maharashtra
Sangli,626872,171763,31971,379258,226801,57381,5444,175998,Maharashtra
Adilabad,597466,213296,38836,82451,220248,51759,6167,155716,Telangana
Nizamabad,565165,179723,24303,166159,155133,39404,3413,132639,Telangana
Karimnagar,877236,284225,44740,300015,288044,60490,5185,243110,Telangana
Medak,593653,205404,26121,188782,195479,37923,2346,165376,Telangana
Hyderabad,0,0,0,0,1066289,203662,9597,1050295,Telangana
Rangareddy,432098,110185,9507,187963,1129224,182935,7905,1084056,Telangana
Mahbubnagar,848963,261481,52636,151965,161052,30600,2738,125782,Telangana
Nalgonda,833504,285059,49177,265888,197433,47977,3357,160316,Telangana
Warangal,758738,294391,64493,225346,288249,68316,8360,237518,Telangana
Khammam,669262,226880,34802,250304,201363,45509,4430,171965,Telangana
Srikakulam,752752,241634,26347,96353,149684,32033,2545,98642,Andhra Pradesh
Vizianagaram,592458,183070,19552,63394,157056,31412,2985,104286,Andhra Pradesh
Visakhapatnam,718847,213498,23004,153834,660493,112284,7266,551512,Andhra Pradesh
East Godavari,1199479,364642,46780,563756,406362,84930,6909,354755,Andhra Pradesh
West Godavari,1007255,302177,48349,593274,248373,52407,5465,220307,Andhra Pradesh
Krishna,909292,280062,40009,511023,567042,113976,9640,527350,Andhra Pradesh
Guntur,1069877,331662,44935,497493,513113,112372,9750,442817,Andhra Pradesh
Prakasam,873486,260299,36687,244577,214089,45387,4282,165705,Andhra Pradesh
Sri Potti Sriramulu Nellore,689137,192270,29633,175730,264376,43887,5024,208329,Andhra Pradesh
Y.S.R.,590589,129339,15356,167728,293504,54592,3229,232162,Andhra Pradesh
Kurnool,783853,211641,25868,216344,306982,64467,4298,223176,Andhra Pradesh
Anantapur,902997,195951,26187,198660,341431,71360,4439,260171,Andhra Pradesh
Chittoor,0,0,0,0,395900,58198,4751,322659,Andhra Pradesh
Belgaum,962777,370670,45251,178114,356198,90831,6768,257888,Karnataka
Bagalkot,324799,139339,16890,23386,165858,54568,6137,70490,Karnataka
Bijapur,396449,165320,26959,19823,131041,36299,3801,77970,Karnataka
Bidar,287134,162805,14357,25268,102269,30681,3069,69646,Karnataka
Raichur,330446,142753,23462,33045,125402,38750,4515,63203,Karnataka
Koppal,272968,107550,14195,32757,64681,17270,2394,31306,Karnataka
Gadag,180066,75268,9184,16567,111906,39951,3805,47337,Karnataka
Dharwad,199707,80682,7789,46133,283397,82186,5668,232386,Karnataka
Uttara Kannada,334281,160790,21394,169147,140511,52411,4497,113252,Karnataka
Haveri,315076,141470,15754,88852,98488,29448,2857,68647,Karnataka
Bellary,371604,148270,20067,44965,251876,72541,7557,159942,Karnataka
Chitradurga,349704,157367,20633,66794,97644,30954,1953,72159,Karnataka
Davanagere,354680,163508,20572,105695,176011,54036,4929,142393,Karnataka
Shimoga,352444,161420,25729,217811,201662,64936,6454,176858,Karnataka
Udupi,269817,93087,11333,225568,115572,28893,2428,110950,Karnataka
Chikmagalur,311660,141806,17142,168609,80766,24634,2343,72205,Karnataka
Tumkur,685443,280347,39756,125437,204799,57139,5120,168960,Karnataka
Bangalore,300576,86566,7515,224831,2967384,590510,32642,2872428,Karnataka
Mandya,458867,202820,20650,126189,103435,31962,3207,88851,Karnataka
Hassan,496103,241603,30759,132460,132878,39465,3190,119458,Karnataka
Dakshina Kannada,332919,135831,12319,293302,317373,83470,5078,309757,Karnataka
Kodagu,181182,72473,8335,142772,31792,10619,1018,30839,Karnataka
Mysore,540596,259487,28652,145961,380386,108411,8369,358324,Karnataka
Chamarajanagar,262680,124773,18388,40453,57200,21393,2574,36780,Karnataka
Gulbarga,400704,173906,14827,18032,199303,57400,2990,135925,Karnataka
Yadgir,207787,106387,11429,8935,55208,18992,1602,22194,Karnataka
Kolar,326567,133566,16655,83275,151042,47730,2417,121136,Karnataka
Chikkaballapura,315649,120894,15467,72600,94053,26241,1505,79287,Karnataka
Bangalore Rural,231052,84334,8549,174445,95410,27765,1622,87110,Karnataka
Ramanagara,266950,116124,18153,74746,84834,29014,2715,75079,Karnataka
North Goa,115859,26648,2086,79596,209230,41010,2302,178474,Goa
South Goa,88620,20738,1773,65402,162873,39742,2444,138768,Goa
Lakshadweep,5289,2162,93,5187,15953,2285,77,15588,Lakshadweep
Kasaragod,251641,80274,19125,223458,166164,30741,4487,160515,Kerala
Kannur,306288,95256,18990,294956,566191,109842,11891,557699,Kerala
Wayanad,266183,94229,23957,244090,11805,4722,650,11251,Kerala
Kozhikode,323793,87748,21371,314080,666543,128643,23996,654546,Kerala
Malappuram,634543,175134,26651,612334,522586,111311,13065,514748,Kerala
Palakkad,665899,235729,35959,587323,228442,64193,7539,216792,Kerala
Thrissur,336748,118536,17175,326309,715119,203809,29320,702962,Kerala
Ernakulam,369694,109430,18485,358234,804997,179515,24955,791313,Kerala
Idukki,391610,172701,32504,347359,20823,4894,292,20678,Kerala
Kottayam,481967,168689,22171,462689,196194,51992,5102,192663,Kerala
Alappuzha,331419,99095,25520,301260,392117,104696,25488,371335,Kerala
Pathanamthitta,414992,125328,20335,388848,57848,13710,1620,55535,Kerala
Kollam,523715,156591,39279,487055,401415,97946,22078,386965,Kerala
Thiruvananthapuram,559293,191279,57048,513991,609824,157945,37200,587261,Kerala
Thiruvallur,387237,125465,12779,109589,732196,132528,7322,650191,Tamil nadu
Chennai,0,0,0,0,1314125,228658,11828,1256304,Tamil nadu
Kancheepuram,438799,139100,10093,128569,774705,136349,6198,663148,Tamil nadu
Vellore,653499,181673,15031,125472,486801,102229,7303,346603,Tamil nadu
Tiruvannamalai,563102,163300,12952,70388,147061,27501,1912,95737,Tamil nadu
Viluppuram,808042,290896,16161,106662,159272,37907,2390,104483,Tamil nadu
Salem,572813,184446,13175,83631,597539,145800,7769,328049,Tamil nadu
Namakkal,370357,94071,6667,115552,257127,62482,3086,140392,Tamil nadu
Erode,411286,117628,8226,138604,432398,102911,4757,275870,Tamil nadu
The Nilgiris,112126,38796,2355,47430,151979,55321,2888,89516,Tamil nadu
Dindigul,443818,139803,7989,83882,269724,69859,3777,154822,Tamil nadu
Karur,212241,61550,4670,48816,152420,30637,1372,102274,Tamil nadu
Tiruchirappalli,452707,134907,10865,108650,423020,90527,5077,313881,Tamil nadu
Perambalur,155413,46935,3420,24245,33179,5608,299,18315,Tamil nadu
Ariyalur,223955,84879,7615,31802,30322,8400,607,15556,Tamil nadu
Cuddalore,497429,193500,11939,98989,260780,68846,3912,178896,Tamil nadu
Nagapattinam,399016,178361,12769,124493,118724,36805,2850,82751,Tamil nadu
Thiruvarur,321331,143957,13175,101220,86848,24231,1477,63226,Tamil nadu
Thanjavur,479070,206480,21559,137973,274302,78725,5487,205178,Tamil nadu
Pudukkottai,399712,157887,16788,70750,104229,26162,1668,72231,Tamil nadu
Sivaganga,309224,98025,9277,73905,143193,31503,2005,112407,Tamil nadu
Madurai,417718,134088,8773,86468,592723,102542,4742,502630,Tamil nadu
Theni,189328,66644,3976,46954,221295,66168,2877,115074,Tamil nadu
Virudhunagar,363782,98222,6185,53113,370942,71592,3339,173972,Tamil nadu
Ramanathapuram,290478,99925,8715,65358,126761,31818,2029,89494,Tamil nadu
Thoothukkudi,336078,112587,6722,94774,300661,69754,3909,219784,Tamil nadu
Tirunelveli,547962,166033,8768,181924,516705,129693,5684,325008,Tamil nadu
Kanniyakumari,104253,37115,2815,86635,493788,162951,14814,436509,Tamil nadu
Dharmapuri,396819,131348,9921,42460,91107,20955,1458,53754,Tamil nadu
Krishnagiri,437988,143223,9636,84094,142552,26088,856,111619,Tamil nadu
Coimbatore,284795,78034,4557,94837,884957,213275,7080,689382,Tamil nadu
Tiruppur,356886,98501,6068,110278,538022,126974,3767,403517,Tamil nadu
Yanam,0,0,0,0,15519,2390,109,12711,Pondicherry
Puducherry,87296,27848,2270,31252,203741,38711,2445,168087,Pondicherry
Mahe,0,0,0,0,12110,1914,134,11844,Pondicherry
Karaikal,35618,13108,748,16955,33715,7081,405,25084,Pondicherry
Nicobars,15958,3799,192,12911,0,0,0,0,Andaman and Nicobar Islands
North  and Middle Andaman,39091,17318,1056,18764,1094,612,73,614,Andaman and Nicobar Islands
South Andaman,34901,11692,1222,22581,50631,10836,608,44455,Andaman and Nicobar Islands
