,District Name,Rural/Urban,Total Number of households,Total Number of Livable,Total Number of Dilapidated,Latrine_premise
1439,Anand,Total,100,36.7,1.9,54.0
1440,Anand,Urban,100,26.1,1.3,83.0
1441,Kheda,Rural,100,42.2,2.5,25.4
1442,Kheda,Total,100,38.3,2.3,37.3
1443,Kheda,Urban,100,25.0,1.5,78.5
1444,Panch Mahals,Rural,100,50.4,2.6,17.0
1445,Panch Mahals,Total,100,46.5,2.4,27.2
1446,Panch Mahals,Urban,100,24.4,1.1,84.1
1447,Dohad,Rural,100,59.5,2.1,6.1
1448,Dohad,Total,100,55.7,2.0,13.1
1449,Dohad,Urban,100,23.6,1.1,71.8
1450,Vadodara,Rural,100,46.0,2.0,28.5
1451,Vadodara,Total,100,32.3,1.4,61.7
1452,Vadodara,Urban,100,19.9,0.8,91.9
1453,Narmada,Rural,100,43.9,1.3,16.0
1454,Narmada,Total,100,42.8,1.4,22.3
1455,Narmada,Urban,100,33.7,1.9,74.7
1456,Bharuch,Rural,100,38.2,1.5,45.8
1457,Bharuch,Total,100,31.9,1.2,61.2
1458,Bharuch,Urban,100,20.2,0.6,89.4
1459,The Dangs,Rural,100,36.3,1.1,25.3
1460,The Dangs,Total,100,35.4,1.0,28.4
1461,The Dangs,Urban,100,26.8,0.7,57.8
1462,Navsari,Rural,100,34.5,1.4,44.5
1463,Navsari,Total,100,30.0,1.2,57.2
1464,Navsari,Urban,100,20.0,0.9,85.7
1465,Valsad,Rural,100,39.7,1.3,27.6
1466,Valsad,Total,100,33.6,1.1,47.2
1467,Valsad,Urban,100,24.6,0.9,76.0
1468,Surat,Rural,100,30.9,1.2,49.9
1469,Surat,Total,100,22.1,0.6,84.9
1470,Surat,Urban,100,19.8,0.5,93.8
1471,Tapi,Rural,100,36.3,1.0,23.0
1472,Tapi,Total,100,35.7,1.0,28.1
1473,Tapi,Urban,100,29.8,0.8,77.5
1474,Diu,Rural,100,12.7,0.3,43.3
1475,Diu,Total,100,11.7,0.2,58.8
1476,Diu,Urban,100,10.7,0.2,74.7
1477,Daman,Rural,100,26.4,0.9,57.3
1478,Daman,Total,100,35.5,0.6,82.4
1479,Daman,Urban,100,37.1,0.6,86.8
1480,Dadra & Nagar Haveli,Rural,100,45.5,0.8,26.5
1481,Dadra & Nagar Haveli,Total,100,32.7,0.5,54.7
1482,Dadra & Nagar Haveli,Urban,100,20.8,0.2,81.3
1483,Nandurbar,Rural,100,48.9,3.9,22.3
1484,Nandurbar,Total,100,45.9,3.8,28.7
1485,Nandurbar,Urban,100,29.2,3.3,63.5
1486,Dhule,Rural,100,37.4,3.4,18.7
1487,Dhule,Total,100,33.5,3.0,31.2
1488,Dhule,Urban,100,22.7,1.6,65.3
1489,Jalgaon,Rural,100,38.9,5.5,22.6
1490,Jalgaon,Total,100,35.3,4.3,35.5
1491,Jalgaon,Urban,100,27.1,1.7,64.9
1492,Buldana,Rural,100,46.9,6.7,29.1
1493,Buldana,Total,100,44.4,6.1,35.3
1494,Buldana,Urban,100,34.4,3.5,60.9
1495,Akola,Rural,100,47.5,7.1,30.9
1496,Akola,Total,100,42.5,5.9,46.1
1497,Akola,Urban,100,33.8,3.7,72.3
1498,Washim,Rural,100,46.3,6.7,27.5
1499,Washim,Total,100,44.6,6.0,33.8
1500,Washim,Urban,100,35.7,2.6,67.3
1501,Amravati,Rural,100,44.6,6.6,41.1
1502,Amravati,Total,100,40.2,5.4,53.7
1503,Amravati,Urban,100,31.3,2.9,78.6
1504,Wardha,Rural,100,43.7,9.5,47.2
1505,Wardha,Total,100,37.7,7.7,56.7
1506,Wardha,Urban,100,24.0,3.7,78.4
1507,Nagpur,Rural,100,39.0,8.3,46.1
1508,Nagpur,Total,100,28.7,4.6,75.7
1509,Nagpur,Urban,100,23.7,2.8,90.0
1510,Bhandara,Rural,100,43.6,8.1,55.8
1511,Bhandara,Total,100,40.1,7.2,61.2
1512,Bhandara,Urban,100,25.0,3.4,84.3
1513,Gondiya,Rural,100,40.3,5.2,47.5
1514,Gondiya,Total,100,38.1,4.9,52.4
1515,Gondiya,Urban,100,27.0,3.3,77.3
1516,Gadchiroli,Rural,100,42.6,8.7,22.2
1517,Gadchiroli,Total,100,40.9,8.1,27.0
1518,Gadchiroli,Urban,100,27.0,4.0,65.9
1519,Chandrapur,Rural,100,41.3,11.2,29.1
1520,Chandrapur,Total,100,35.9,8.6,43.3
1521,Chandrapur,Urban,100,25.2,3.4,71.7
1522,Yavatmal,Rural,100,46.9,8.1,21.8
1523,Yavatmal,Total,100,43.4,7.3,31.0
1524,Yavatmal,Urban,100,29.3,3.9,68.2
1525,Nanded,Rural,100,51.2,7.8,19.2
1526,Nanded,Total,100,47.0,6.8,33.1
1527,Nanded,Urban,100,35.0,4.0,73.2
1528,Hingoli,Rural,100,46.7,6.0,26.9
1529,Hingoli,Total,100,45.6,5.6,32.4
1530,Hingoli,Urban,100,38.7,3.1,65.7
1531,Parbhani,Rural,100,47.3,8.3,13.3
1532,Parbhani,Total,100,44.0,7.2,28.8
1533,Parbhani,Urban,100,35.8,4.4,66.9
1534,Jalna,Rural,100,41.0,6.9,29.2
1535,Jalna,Total,100,40.2,6.2,36.5
1536,Jalna,Urban,100,36.5,3.1,70.2
1537,Aurangabad,Rural,100,39.7,8.0,19.8
1538,Aurangabad,Total,100,32.3,5.2,48.9
1539,Aurangabad,Urban,100,22.6,1.4,87.4
1540,Nashik,Rural,100,34.5,5.6,29.3
1541,Nashik,Total,100,30.0,4.2,46.8
1542,Nashik,Urban,100,24.3,2.5,69.1
1543,Thane,Rural,100,36.8,5.8,39.7
1544,Thane,Total,100,25.0,2.1,67.0
1545,Thane,Urban,100,21.7,1.1,74.5
1546,Mumbai Suburban,Total,100,27.1,1.4,54.7
1547,Mumbai Suburban,Urban,100,27.1,1.4,54.7
1548,Mumbai,Total,100,26.2,1.5,67.0
1549,Mumbai,Urban,100,26.2,1.5,67.0
1550,Raigarh,Rural,100,28.3,3.6,50.9
1551,Raigarh,Total,100,24.4,2.6,62.0
1552,Raigarh,Urban,100,17.7,1.1,81.0
1553,Pune,Rural,100,23.9,4.9,61.8
1554,Pune,Total,100,22.0,2.6,73.8
1555,Pune,Urban,100,20.9,1.3,80.5
1556,Ahmadnagar,Rural,100,30.6,7.4,39.1
1557,Ahmadnagar,Total,100,29.1,6.4,46.1
1558,Ahmadnagar,Urban,100,23.1,2.5,73.6
1559,Bid,Rural,100,41.0,8.0,15.4
1560,Bid,Total,100,39.2,7.1,25.1
1561,Bid,Urban,100,30.8,2.9,69.1
1562,Latur,Rural,100,40.1,5.7,24.8
1563,Latur,Total,100,37.8,4.9,37.6
1564,Latur,Urban,100,30.6,2.6,77.9
1565,Osmanabad,Rural,100,38.2,6.2,22.2
1566,Osmanabad,Total,100,37.2,5.6,27.7
1567,Osmanabad,Urban,100,31.6,2.8,57.8
1568,Solapur,Rural,100,29.6,7.8,32.1
1569,Solapur,Total,100,30.0,5.9,41.3
1570,Solapur,Urban,100,30.8,1.9,60.9
1571,Satara,Rural,100,27.8,5.3,70.1
1572,Satara,Total,100,26.4,4.8,71.1
1573,Satara,Urban,100,20.7,2.7,75.4
1574,Ratnagiri,Rural,100,28.7,4.1,67.2
1575,Ratnagiri,Total,100,26.9,3.8,69.4
1576,Ratnagiri,Urban,100,16.6,1.9,82.0
1577,Sindhudurg,Rural,100,27.6,4.6,74.4
1578,Sindhudurg,Total,100,27.2,4.4,75.9
1579,Sindhudurg,Urban,100,23.8,3.0,86.8
1580,Kolhapur,Rural,100,24.3,2.0,74.4
1581,Kolhapur,Total,100,23.6,1.7,74.5
1582,Kolhapur,Urban,100,22.2,1.2,74.7
1583,Sangli,Rural,100,27.4,5.1,60.5
1584,Sangli,Total,100,26.9,4.4,64.9
1585,Sangli,Urban,100,25.3,2.4,77.6
1586,Adilabad,Rural,100,35.7,6.5,13.8
1587,Adilabad,Total,100,32.4,5.5,29.3
1588,Adilabad,Urban,100,23.5,2.8,70.7
1589,Nizamabad,Rural,100,31.8,4.3,29.4
1590,Nizamabad,Total,100,30.4,3.8,41.6
1591,Nizamabad,Urban,100,25.4,2.2,85.5
1592,Karimnagar,Rural,100,32.4,5.1,34.2
1593,Karimnagar,Total,100,29.7,4.3,46.2
1594,Karimnagar,Urban,100,21.0,1.8,84.4
1595,Medak,Rural,100,34.6,4.4,31.8
1596,Medak,Total,100,31.0,3.7,44.1
1597,Medak,Urban,100,19.4,1.2,84.6
1598,Hyderabad,Total,100,19.1,0.9,98.5
1599,Hyderabad,Urban,100,19.1,0.9,98.5
1600,Rangareddy,Rural,100,25.5,2.2,43.5
1601,Rangareddy,Total,100,18.8,1.1,81.4
1602,Rangareddy,Urban,100,16.2,0.7,96.0
1603,Mahbubnagar,Rural,100,30.8,6.2,17.9
1604,Mahbubnagar,Total,100,29.2,5.6,26.4
1605,Mahbubnagar,Urban,100,19.0,1.7,78.1
1606,Nalgonda,Rural,100,34.2,5.9,31.9
1607,Nalgonda,Total,100,32.5,5.2,40.6
1608,Nalgonda,Urban,100,24.3,1.7,81.2
1609,Warangal,Rural,100,38.8,8.5,29.7
1610,Warangal,Total,100,34.8,7.0,43.7
1611,Warangal,Urban,100,23.7,2.9,82.4
1612,Khammam,Rural,100,33.9,5.2,37.4
1613,Khammam,Total,100,31.3,4.5,48.2
1614,Khammam,Urban,100,22.6,2.2,85.4
1615,Srikakulam,Rural,100,32.1,3.5,12.8
1616,Srikakulam,Total,100,30.4,3.2,21.2
1617,Srikakulam,Urban,100,21.4,1.7,65.9
1618,Vizianagaram,Rural,100,30.9,3.3,10.7
1619,Vizianagaram,Total,100,28.7,3.0,22.0
1620,Vizianagaram,Urban,100,20.0,1.9,66.4
1621,Visakhapatnam,Rural,100,29.7,3.2,21.4
1622,Visakhapatnam,Total,100,23.6,2.2,51.3
1623,Visakhapatnam,Urban,100,17.0,1.1,83.5
1624,East Godavari,Rural,100,30.4,3.9,47.0
1625,East Godavari,Total,100,28.1,3.3,56.9
1626,East Godavari,Urban,100,20.9,1.7,87.3
1627,West Godavari,Rural,100,30.0,4.8,58.9
1628,West Godavari,Total,100,28.3,4.3,64.6
1629,West Godavari,Urban,100,21.1,2.2,88.7
1630,Krishna,Rural,100,30.8,4.4,56.2
1631,Krishna,Total,100,26.7,3.4,70.4
1632,Krishna,Urban,100,20.1,1.7,93.0
1633,Guntur,Rural,100,31.0,4.2,46.5
1634,Guntur,Total,100,28.1,3.5,59.2
1635,Guntur,Urban,100,21.9,1.9,86.3
1636,Prakasam,Rural,100,29.8,4.2,28.0
1637,Prakasam,Total,100,28.2,3.7,37.5
1638,Prakasam,Urban,100,21.2,2.0,77.4
1639,Sri Potti Sriramulu Nellore,Rural,100,27.9,4.3,25.5
1640,Sri Potti Sriramulu Nellore,Total,100,24.9,3.7,39.6
1641,Sri Potti Sriramulu Nellore,Urban,100,16.6,1.9,78.8
1642,Y.S.R.,Rural,100,21.9,2.6,28.4
1643,Y.S.R.,Total,100,20.8,2.1,44.8
1644,Y.S.R.,Urban,100,18.6,1.1,79.1
1645,Kurnool,Rural,100,27.0,3.3,27.6
1646,Kurnool,Total,100,25.3,2.8,40.3
1647,Kurnool,Urban,100,21.0,1.4,72.7
1648,Anantapur,Rural,100,21.7,2.9,22.0
1649,Anantapur,Total,100,21.5,2.5,36.8
1650,Anantapur,Urban,100,20.9,1.3,76.2
1651,Chittoor,Rural,100,22.4,3.7,19.6
1652,Chittoor,Total,100,20.2,3.0,37.4
1653,Chittoor,Urban,100,14.7,1.2,81.5
1654,Belgaum,Rural,100,38.5,4.7,18.5
1655,Belgaum,Total,100,35.1,3.9,32.8
1656,Belgaum,Urban,100,25.5,1.9,72.4
1657,Bagalkot,Rural,100,42.9,5.2,7.2
1658,Bagalkot,Total,100,39.6,4.7,18.8
1659,Bagalkot,Urban,100,32.9,3.7,42.5
1660,Bijapur,Rural,100,41.7,6.8,5.0
1661,Bijapur,Total,100,38.3,5.9,18.1
1662,Bijapur,Urban,100,27.7,2.9,59.5
1663,Bidar,Rural,100,56.7,5.0,8.8
1664,Bidar,Total,100,50.2,4.5,23.2
1665,Bidar,Urban,100,30.0,3.0,68.1
1666,Raichur,Rural,100,43.2,7.1,10.0
1667,Raichur,Total,100,39.9,6.2,20.7
1668,Raichur,Urban,100,30.9,3.6,50.4
1669,Koppal,Rural,100,39.4,5.2,12.0
1670,Koppal,Total,100,37.2,4.9,18.5
1671,Koppal,Urban,100,26.7,3.7,48.4
1672,Gadag,Rural,100,41.8,5.1,9.2
1673,Gadag,Total,100,39.6,4.5,21.2
1674,Gadag,Urban,100,35.7,3.4,42.3
1675,Dharwad,Rural,100,40.4,3.9,23.1
1676,Dharwad,Total,100,33.8,2.8,57.0
1677,Dharwad,Urban,100,29.0,2.0,82.0
1678,Uttara Kannada,Rural,100,48.1,6.4,50.6
1679,Uttara Kannada,Total,100,45.0,5.4,59.3
1680,Uttara Kannada,Urban,100,37.3,3.2,80.6
1681,Haveri,Rural,100,44.9,5.0,28.2
1682,Haveri,Total,100,41.6,4.5,37.3
1683,Haveri,Urban,100,29.9,2.9,69.7
1684,Bellary,Rural,100,39.9,5.4,12.1
1685,Bellary,Total,100,35.5,4.5,32.4
1686,Bellary,Urban,100,28.8,3.0,63.5
1687,Chitradurga,Rural,100,45.0,5.9,19.1
1688,Chitradurga,Total,100,42.3,5.1,30.3
1689,Chitradurga,Urban,100,31.7,2.0,73.9
1690,Davanagere,Rural,100,46.1,5.8,29.8
1691,Davanagere,Total,100,41.0,4.8,46.4
1692,Davanagere,Urban,100,30.7,2.8,80.9
1693,Shimoga,Rural,100,45.8,7.3,61.8
1694,Shimoga,Total,100,40.9,5.8,71.2
1695,Shimoga,Urban,100,32.2,3.2,87.7
1696,Udupi,Rural,100,34.5,4.2,83.6
1697,Udupi,Total,100,31.7,3.6,87.2
1698,Udupi,Urban,100,25.0,2.1,96.0
1699,Chikmagalur,Rural,100,45.5,5.5,54.1
1700,Chikmagalur,Total,100,42.3,4.9,61.5
1701,Chikmagalur,Urban,100,30.5,2.9,89.4
1702,Tumkur,Rural,100,40.9,5.8,18.3
1703,Tumkur,Total,100,38.1,5.1,32.5
1704,Tumkur,Urban,100,27.9,2.5,82.5
1705,Bangalore,Rural,100,28.8,2.5,74.8
1706,Bangalore,Total,100,20.7,1.2,94.8
1707,Bangalore,Urban,100,19.9,1.1,96.8
1708,Mandya,Rural,100,44.2,4.5,27.5
1709,Mandya,Total,100,41.9,4.3,37.5
1710,Mandya,Urban,100,30.9,3.1,85.9
1711,Hassan,Rural,100,48.7,6.2,26.7
1712,Hassan,Total,100,44.8,5.4,39.9
1713,Hassan,Urban,100,29.7,2.4,89.9
1714,Dakshina Kannada,Rural,100,40.8,3.7,88.1
1715,Dakshina Kannada,Total,100,33.8,2.7,92.7
1716,Dakshina Kannada,Urban,100,26.3,1.6,97.6
1717,Kodagu,Rural,100,40.0,4.6,78.8
1718,Kodagu,Total,100,39.0,4.4,81.4
1719,Kodagu,Urban,100,33.4,3.2,97.0
1720,Mysore,Rural,100,48.0,5.3,27.0
1721,Mysore,Total,100,39.9,4.0,55.0
1722,Mysore,Urban,100,28.5,2.2,94.2
1723,Chamarajanagar,Rural,100,47.5,7.0,15.4
1724,Chamarajanagar,Total,100,45.8,6.6,23.5
1725,Chamarajanagar,Urban,100,37.4,4.5,64.3
1726,Gulbarga,Rural,100,43.4,3.7,4.5
1727,Gulbarga,Total,100,38.6,3.0,25.5
1728,Gulbarga,Urban,100,28.8,1.5,68.2
1729,Yadgir,Rural,100,51.2,5.5,4.3
1730,Yadgir,Total,100,48.0,5.0,11.2
1731,Yadgir,Urban,100,34.4,2.9,40.2
1732,Kolar,Rural,100,40.9,5.1,25.5
1733,Kolar,Total,100,38.0,4.0,42.8
1734,Kolar,Urban,100,31.6,1.6,80.2
1735,Chikkaballapura,Rural,100,38.3,4.9,23.0
1736,Chikkaballapura,Total,100,36.0,4.2,36.5
1737,Chikkaballapura,Urban,100,27.9,1.6,84.3
1738,Bangalore Rural,Rural,100,36.5,3.7,75.5
1739,Bangalore Rural,Total,100,34.4,3.1,79.9
1740,Bangalore Rural,Urban,100,29.1,1.7,91.3
1741,Ramanagara,Rural,100,43.5,6.8,28.0
1742,Ramanagara,Total,100,41.3,6.0,41.9
1743,Ramanagara,Urban,100,34.2,3.2,88.5
1744,North Goa,Rural,100,23.0,1.8,68.7
1745,North Goa,Total,100,21.0,1.4,78.7
1746,North Goa,Urban,100,19.6,1.1,85.3
1747,South Goa,Rural,100,23.4,2.0,73.8
1748,South Goa,Total,100,24.1,1.7,81.0
1749,South Goa,Urban,100,24.4,1.5,85.2
1750,LAKSHADWEEP,Rural,100,40.86,1.74,98.06
1751,LAKSHADWEEP,Total,100,20.57,0.78,97.8
1752,LAKSHADWEEP,Urban,100,14.32,0.48,97.71
1753,Kasaragod,Rural,100,31.9,7.6,88.8
1754,Kasaragod,Total,100,26.8,5.8,91.8
1755,Kasaragod,Urban,100,18.5,2.7,96.6
1756,Kannur,Rural,100,31.1,6.2,96.3
1757,Kannur,Total,100,23.7,3.6,97.6
1758,Kannur,Urban,100,19.4,2.1,98.5
1759,Wayanad,Rural,100,35.4,9.0,91.7
1760,Wayanad,Total,100,35.5,8.9,91.8
1761,Wayanad,Urban,100,40.0,5.5,95.3
1762,Kozhikode,Rural,100,27.1,6.6,97.0
1763,Kozhikode,Total,100,21.9,4.6,97.8
1764,Kozhikode,Urban,100,19.3,3.6,98.2
1765,Malappuram,Rural,100,27.6,4.2,96.5
1766,Malappuram,Total,100,24.8,3.4,97.4
1767,Malappuram,Urban,100,21.3,2.5,98.5
1768,Palakkad,Rural,100,35.4,5.4,88.2
1769,Palakkad,Total,100,33.6,4.9,89.8
1770,Palakkad,Urban,100,28.1,3.3,94.9
1771,Thrissur,Rural,100,35.2,5.1,96.9
1772,Thrissur,Total,100,30.7,4.4,97.8
1773,Thrissur,Urban,100,28.5,4.1,98.3
1774,Ernakulam,Rural,100,29.6,5.0,96.9
1775,Ernakulam,Total,100,24.6,3.7,97.9
1776,Ernakulam,Urban,100,22.3,3.1,98.3
1777,Idukki,Rural,100,44.1,8.3,88.7
1778,Idukki,Total,100,43.2,8.0,89.1
1779,Idukki,Urban,100,23.5,1.4,99.3
1780,Kottayam,Rural,100,35.0,4.6,96.0
1781,Kottayam,Total,100,32.5,4.1,96.6
1782,Kottayam,Urban,100,26.5,2.6,98.2
1783,Alappuzha,Rural,100,29.9,7.7,90.9
1784,Alappuzha,Total,100,28.2,7.0,92.9
1785,Alappuzha,Urban,100,26.7,6.5,94.7
1786,Pathanamthitta,Rural,100,30.2,4.9,93.7
1787,Pathanamthitta,Total,100,29.5,4.7,93.9
1788,Pathanamthitta,Urban,100,23.7,2.8,96.0
1789,Kollam,Rural,100,29.9,7.5,93.0
1790,Kollam,Total,100,27.5,6.6,94.5
1791,Kollam,Urban,100,24.4,5.5,96.4
1792,Thiruvananthapuram,Rural,100,34.2,10.2,91.9
1793,Thiruvananthapuram,Total,100,29.8,8.0,94.2
1794,Thiruvananthapuram,Urban,100,25.9,6.1,96.3
1795,Thiruvallur,Rural,100,32.4,3.3,28.3
1796,Thiruvallur,Total,100,23.1,1.8,67.9
1797,Thiruvallur,Urban,100,18.1,1.0,88.8
1798,Chennai,Total,100,17.4,0.9,95.6
1799,Chennai,Urban,100,17.4,0.9,95.6
1800,Kancheepuram,Rural,100,31.7,2.3,29.3
1801,Kancheepuram,Total,100,22.6,1.3,65.5
1802,Kancheepuram,Urban,100,17.6,0.8,85.6
1803,Vellore,Rural,100,27.8,2.3,19.2
1804,Vellore,Total,100,24.9,2.0,41.1
1805,Vellore,Urban,100,21.0,1.5,71.2
1806,Tiruvannamalai,Rural,100,29.0,2.3,12.5
1807,Tiruvannamalai,Total,100,27.0,2.1,22.8
1808,Tiruvannamalai,Urban,100,18.7,1.3,65.1
1809,Viluppuram,Rural,100,36.0,2.0,13.2
1810,Viluppuram,Total,100,34.2,1.9,21.1
1811,Viluppuram,Urban,100,23.8,1.5,65.6
1812,Salem,Rural,100,32.2,2.3,14.6
1813,Salem,Total,100,28.3,1.8,35.0
1814,Salem,Urban,100,24.4,1.3,54.9
1815,Namakkal,Rural,100,25.4,1.8,31.2
1816,Namakkal,Total,100,24.9,1.6,40.7
1817,Namakkal,Urban,100,24.3,1.2,54.6
1818,Erode,Rural,100,28.6,2.0,33.7
1819,Erode,Total,100,26.2,1.5,49.0
1820,Erode,Urban,100,23.8,1.1,63.8
1821,The Nilgiris,Rural,100,34.6,2.1,42.3
1822,The Nilgiris,Total,100,35.6,2.0,51.9
1823,The Nilgiris,Urban,100,36.4,1.9,58.9
1824,Dindigul,Rural,100,31.5,1.8,18.9
1825,Dindigul,Total,100,29.4,1.6,33.3
1826,Dindigul,Urban,100,25.9,1.4,57.4
1827,Karur,Rural,100,29.0,2.2,23.0
1828,Karur,Total,100,25.3,1.6,41.2
1829,Karur,Urban,100,20.1,0.9,67.1
1830,Tiruchirappalli,Rural,100,29.8,2.4,24.0
1831,Tiruchirappalli,Total,100,25.7,1.8,48.5
1832,Tiruchirappalli,Urban,100,21.4,1.2,74.2
1833,Perambalur,Rural,100,30.2,2.2,15.6
1834,Perambalur,Total,100,28.0,2.0,22.2
1835,Perambalur,Urban,100,16.9,0.9,55.2
1836,Ariyalur,Rural,100,37.9,3.4,14.2
1837,Ariyalur,Total,100,36.8,3.2,18.1
1838,Ariyalur,Urban,100,27.7,2.0,51.3
1839,Cuddalore,Rural,100,38.9,2.4,19.9
1840,Cuddalore,Total,100,34.8,2.1,36.1
1841,Cuddalore,Urban,100,26.4,1.5,68.6
1842,Nagapattinam,Rural,100,44.7,3.2,31.2
1843,Nagapattinam,Total,100,41.7,3.0,39.5
1844,Nagapattinam,Urban,100,31.0,2.4,69.7
1845,Thiruvarur,Rural,100,44.8,4.1,31.5
1846,Thiruvarur,Total,100,41.4,3.7,39.7
1847,Thiruvarur,Urban,100,27.9,1.7,72.8
1848,Thanjavur,Rural,100,43.1,4.5,28.8
1849,Thanjavur,Total,100,38.0,3.6,45.1
1850,Thanjavur,Urban,100,28.7,2.0,74.8
1851,Pudukkottai,Rural,100,39.5,4.2,17.7
1852,Pudukkottai,Total,100,36.6,3.7,28.0
1853,Pudukkottai,Urban,100,25.1,1.6,69.3
1854,Sivaganga,Rural,100,31.7,3.0,23.9
1855,Sivaganga,Total,100,28.8,2.5,40.7
1856,Sivaganga,Urban,100,22.0,1.4,78.5
1857,Madurai,Rural,100,32.1,2.1,20.7
1858,Madurai,Total,100,23.2,1.3,59.2
1859,Madurai,Urban,100,17.3,0.8,84.8
1860,Theni,Rural,100,35.2,2.1,24.8
1861,Theni,Total,100,32.4,1.6,39.3
1862,Theni,Urban,100,29.9,1.3,52.0
1863,Virudhunagar,Rural,100,27.0,1.7,14.6
1864,Virudhunagar,Total,100,23.1,1.3,30.9
1865,Virudhunagar,Urban,100,19.3,0.9,46.9
1866,Ramanathapuram,Rural,100,34.4,3.0,22.5
1867,Ramanathapuram,Total,100,31.6,2.6,36.6
1868,Ramanathapuram,Urban,100,25.1,1.6,70.6
1869,Thoothukkudi,Rural,100,33.5,2.0,28.2
1870,Thoothukkudi,Total,100,28.5,1.6,50.0
1871,Thoothukkudi,Urban,100,23.2,1.3,73.1
1872,Tirunelveli,Rural,100,30.3,1.6,33.2
1873,Tirunelveli,Total,100,27.8,1.4,47.6
1874,Tirunelveli,Urban,100,25.1,1.1,62.9
1875,Kanniyakumari,Rural,100,35.6,2.7,83.1
1876,Kanniyakumari,Total,100,33.4,2.9,87.5
1877,Kanniyakumari,Urban,100,33.0,3.0,88.4
1878,Dharmapuri,Rural,100,33.1,2.5,10.7
1879,Dharmapuri,Total,100,31.4,2.3,19.0
1880,Dharmapuri,Urban,100,23.0,1.6,59.0
1881,Krishnagiri,Rural,100,32.7,2.2,19.2
1882,Krishnagiri,Total,100,29.4,1.8,33.0
1883,Krishnagiri,Urban,100,18.3,0.6,78.3
1884,Coimbatore,Rural,100,27.4,1.6,33.3
1885,Coimbatore,Total,100,24.9,1.0,66.7
1886,Coimbatore,Urban,100,24.1,0.8,77.9
1887,Tiruppur,Rural,100,27.6,1.7,30.9
1888,Tiruppur,Total,100,25.3,1.1,57.2
1889,Tiruppur,Urban,100,23.6,0.7,75.0
1890,Yanam,Total,100,15.4,0.7,81.9
1891,Yanam,Urban,100,15.4,0.7,81.9
1892,Puducherry,Rural,100,31.9,2.6,35.8
1893,Puducherry,Total,100,22.8,1.6,68.5
1894,Puducherry,Urban,100,19.0,1.2,82.5
1895,Mahe,Total,100,15.8,1.1,97.8
1896,Mahe,Urban,100,15.8,1.1,97.8
1897,Karaikal,Rural,100,36.8,2.1,47.6
1898,Karaikal,Total,100,29.2,1.6,60.6
1899,Karaikal,Urban,100,21.0,1.2,74.4
1900,Nicobars,Rural,100,23.8,1.2,80.9
1901,Nicobars,Total,100,23.8,1.2,80.9
1902,North  & Middle Andaman,Rural,100,44.3,2.7,48.0
1903,North  & Middle Andaman,Total,100,44.6,2.8,48.3
1904,North  & Middle Andaman,Urban,100,55.9,6.6,56.1
1905,South Andaman,Rural,100,33.5,3.5,64.7
1906,South Andaman,Total,100,26.4,2.2,78.3
1907,South Andaman,Urban,100,21.4,1.2,87.8
